# File 60 v2 (dedup ONE ROW PER CLIENT in window, both sides; SF disp-4 vs CPC_RB_PREF 1012->5002 any origin; CLNT_NO match within [-1,+14] days), run 2026-09-04, window 2024-08..2026-07, active-personal universe. SF total 524,576 vs Q1 506,646: residual 3.5% = Q1 dedups from 2024-01; v3 will match. BLOCK 4 top MNEs.
mne	sf_only	sf_and_cpc	total_sf
VRE	262975	1885	264860
OTHER	125721	1435	127156
VME	57060	281	57341
VRG	20419	100	20519
PCQ	12381	114	12495
QCF	11520	59	11579
RFT	10569	113	10682
ERI	10140	66	10206
PAL	9685	53	9738
